DatumName,DatumType,TimeUnit,DataUnit
InCellTime,basic,month,time steps
DispersalTime,basic,month,time steps
TotalBiomass,basic,month,kg/km^2
TotalLivingBiomass,basic,month,kg/km^2
TotalStockBiomass,basic,month,kg/km^2
TotalCohortBiomass,basic,month,kg/km^2
OrganicMatterPool,basic,month,kg/km^2
RespiratoryCO2Pool,basic,month,kg/km^2
NumberOfStocks,basic,month,frequency
NumberOfCohorts,basic,month,frequency
CohortsProduced,basic,month,frequency
CohortsExtinct,basic,month,frequency
CohortsCombined,basic,month,frequency
CohortsDispersed,basic,month,frequency
CohortAbundance,basic,month,frequency
###############################################################################
BiomassDensity,grid,month,kg/km^2
AbundanceDensity,grid,month,frequency/km^2
AutotrophBiomassDensity,grid,month,kg/km^2
HeterotrophBiomassDensity,grid,month,kg/km^2
PhytoplanktonBiomassDensity,grid,month,kg/km^2
DeciduousBiomassDensity,grid,month,kg/km^2
EvergreenBiomassDensity,grid,month,kg/km^2
HerbivoreBiomassDensity,grid,month,kg/km^2
HerbivoreAbundanceDensity,grid,month,frequency/km^2
OmnivoreBiomassDensity,grid,month,kg/km^2
OmnivoreAbundanceDensity,grid,month,frequency/km^2
CarnivoreBiomassDensity,grid,month,kg/km^2
CarnivoreAbundanceDensity,grid,month,frequency/km^2
EctothermBiomassDensity,grid,month,kg/km^2
EctothermAbundanceDensity,grid,month,frequency/km^2
EndothermBiomassDensity,grid,month,kg/km^2
EndothermAbundanceDensity,grid,month,frequency/km^2
IteroparityBiomassDensity,grid,month,kg/km^2
IteroparityAbundanceDensity,grid,month,frequency/km^2
SemelparityBiomassDensity,grid,month,kg/km^2
SemelparityAbundanceDensity,grid,month,frequency/km^2
